ED_CODE,ED_NAMEE,ED_NAMEF,POPULATION
10001,Avalon,Avalon,87191
10002,Bonavista--Burin--Trinity,Bonavista--Burin--Trinity,71898
10003,Coast of Bays--Central--Notre Dame,Coast of Bays--Central--Notre Dame,74201
10004,Labrador,Labrador,26655
10005,Long Range Mountains,Long Range Mountains,81716
10006,St. John's East,St. John's-Est,87345
10007,St. John's South--Mount Pearl,St. John's-Sud--Mount Pearl,81544
11001,Cardigan,Cardigan,39866
11002,Charlottetown,Charlottetown,38809
11003,Egmont,Egmont,35925
11004,Malpeque,Malpeque,39731
12001,Cape Breton--Canso,Cape Breton--Canso,71380
12002,Central Nova,Nova-Centre,73188
12003,Cumberland--Colchester,Cumberland--Colchester,82014
12004,Dartmouth--Cole Harbour,Dartmouth--Cole Harbour,96165
12005,Halifax,Halifax,107010
12006,Halifax West,Halifax-Ouest,111944
12007,Kings--Hants,Kings--Hants,87744
12008,Sackville--Preston--Chezzetcook,Sackville--Preston--Chezzetcook,89524
12009,South Shore--St. Margarets,South Shore--St. Margarets,94482
12010,Sydney--Victoria,Sydney--Victoria,72361
12011,West Nova,Nova-Ouest,83571
13001,Acadie--Bathurst,Acadie--Bathurst,77594
13002,Beauséjour,Beauséjour,88797
13003,Fredericton,Fredericton,87436
13004,Fundy Royal,Fundy Royal,83721
13005,Madawaska--Restigouche,Madawaska--Restigouche,60184
13006,Miramichi--Grand Lake,Miramichi--Grand Lake,57520
13007,Moncton--Riverview--Dieppe,Moncton--Riverview--Dieppe,101237
13008,New Brunswick Southwest,Nouveau-Brunswick-Sud-Ouest,67781
13009,Saint John--Rothesay,Saint John--Rothesay,81996
13010,Tobique--Mactaquac,Tobique--Mactaquac,69344
24001,Abitibi--Baie-James--Nunavik--Eeyou,Abitibi--Baie-James--Nunavik--Eeyou,89087
24002,Abitibi--Témiscamingue,Abitibi--Témiscamingue,103735
24003,Ahuntsic-Cartierville,Ahuntsic-Cartierville,118170
24004,Alfred-Pellan,Alfred-Pellan,102020
24005,Argenteuil--La Petite-Nation,Argenteuil--La Petite-Nation,102311
24006,Avignon--La Mitis--Matane--Matapédia,Avignon--La Mitis--Matane--Matapédia,70253
24007,Beauce,Beauce,111034
24008,Beauport--Limoilou,Beauport--Limoilou,96064
24009,Bécancour--Nicolet--Saurel,Bécancour--Nicolet--Saurel,96439
24010,Bellechasse--Les Etchemins--Lévis,Bellechasse--Les Etchemins--Lévis,120179
24011,Beloeil--Chambly,Beloeil--Chambly,125359
24012,Berthier--Maskinongé,Berthier--Maskinongé,105280
24013,Thérèse-De Blainville,Thérèse-De Blainville,106013
24014,Pierre-Boucher--Les Patriotes--Verchères,Pierre-Boucher--Les Patriotes--Verchères,103020
24015,Bourassa,Bourassa,105637
24016,Brome--Missisquoi,Brome--Missisquoi,113913
24017,Brossard--Saint-Lambert,Brossard--Saint-Lambert,114286
